<>f__AnonymousType3`18;<>f__AnonymousType3`18.codigo;<>f__AnonymousType3`18.nombre;<>f__AnonymousType3`18.descripcion;<>f__AnonymousType3`18.categoria_id;<>f__AnonymousType3`18.categoria_nombre;<>f__AnonymousType3`18.precio;<>f__AnonymousType3`18.stock;<>f__AnonymousType3`18.activo;<>f__AnonymousType3`18.visible_catalogo;<>f__AnonymousType3`18.grupo1;<>f__AnonymousType3`18.grupo2;<>f__AnonymousType3`18.grupo3;<>f__AnonymousType3`18.fecha_alta;<>f__AnonymousType3`18.fecha_modi;<>f__AnonymousType3`18.codigo_ubicacion;<>f__AnonymousType3`18.listas_precios;<>f__AnonymousType3`18.porcentaje;<>f__AnonymousType3`18.stocks_por_empresa
"{ codigo = 07061, nombre = CHOCO BAR NEGRA xU GALLO, descripcion = CHOCO BAR NEGRA xU GALLO, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07061;"CHOCO BAR NEGRA xU GALLO";"CHOCO BAR NEGRA xU GALLO";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 531,51, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 574,03, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 52 }]"
"{ codigo = 07062, nombre = PIPAS ROJAS CLASICA TIRA x10u, descripcion = PIPAS ROJAS CLASICA TIRA x10u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07062;"PIPAS ROJAS CLASICA TIRA x10u";"PIPAS ROJAS CLASICA TIRA x10u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1641,78, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1773,13, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 5 }]"
"{ codigo = 07063, nombre = GOMA ROLLO BUTTON x30u FIERITA, descripcion = GOMA ROLLO BUTTON x30u FIERITA, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07063;"GOMA ROLLO BUTTON x30u FIERITA";"GOMA ROLLO BUTTON x30u FIERITA";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 3900,76, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 4212,82, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 16 }]"
"{ codigo = 07064, nombre = CONITO CACHAFAZ x12u, descripcion = CONITO CACHAFAZ x12u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07064;"CONITO CACHAFAZ x12u";"CONITO CACHAFAZ x12u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 11608,62, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 12537,31, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07065, nombre = GALL. CELOSAS x110g, descripcion = GALL. CELOSAS x110g, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07065;"GALL. CELOSAS x110g";"GALL. CELOSAS x110g";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 362,15, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 391,12, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 5246 }]"
"{ codigo = 07066, nombre = ALF. CACHAFAZ CHOC x6u ESTUCHE, descripcion = ALF. CACHAFAZ CHOC x6u ESTUCHE, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07066;"ALF. CACHAFAZ CHOC x6u ESTUCHE";"ALF. CACHAFAZ CHOC x6u ESTUCHE";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 6618,20, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 7147,66, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07068, nombre = GOMA POTE x30u RIVER, descripcion = GOMA POTE x30u RIVER, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07068;"GOMA POTE x30u RIVER";"GOMA POTE x30u RIVER";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 5693,90, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 6149,41, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07070, nombre = GALL VIMAR CHIPS x380g, descripcion = GALL VIMAR CHIPS x380g, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07070;"GALL VIMAR CHIPS x380g";"GALL VIMAR CHIPS x380g";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1170,39, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1264,02, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 131 }]"
"{ codigo = 07071, nombre = PIPAS FUEGO 12x40gr, descripcion = PIPAS FUEGO 12x40gr, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07071;"PIPAS FUEGO 12x40gr";"PIPAS FUEGO 12x40gr";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 5083,72, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 5490,42, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 132 }]"
"{ codigo = 07072, nombre = PAST.LUCKY 8 SURT x385g, descripcion = PAST.LUCKY 8 SURT x385g, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07072;"PAST.LUCKY 8 SURT x385g";"PAST.LUCKY 8 SURT x385g";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1836,10, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1982,98, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
